pickup_hour,zone_id,trips,hour_of_week,mean,std,z
2024-01-06 09:00:00,152,11,129,2.625,1.1110243021644486,7.53808893620436
2024-01-01 00:00:00,74,16,0,3.0,1.7320508075688772,7.505553499465135
2024-01-17 02:00:00,138,20,50,5.0,2.0,7.5
2024-01-01 01:00:00,243,18,1,3.0,2.0,7.5
2024-01-15 02:00:00,79,53,2,14.625,5.12195031213697,7.492263232047884
2024-01-14 23:00:00,224,14,167,2.3333333333333335,1.5634719199411433,7.462025072446364
2024-01-01 05:00:00,125,13,5,2.1666666666666665,1.4624940645653537,7.407437469876467
2024-01-14 12:00:00,246,205,156,96.44444444444444,14.788216864270394,7.340679173960123
2024-01-01 05:00:00,68,44,5,11.75,4.408798022137099,7.314918904896281
2024-01-28 04:00:00,7,13,148,2.6666666666666665,1.4142135623730951,7.306770072260991
2024-01-01 00:00:00,113,86,0,15.25,9.756408150543928,7.251644140785113
2024-01-01 06:00:00,244,14,6,4.75,1.299038105676658,7.120653320005384
2024-01-05 09:00:00,24,50,105,15.666666666666666,4.83045891539648,7.107675261226249
2024-01-01 05:00:00,211,9,5,1.7142857142857142,1.0301575072754254,7.072427501871672
2024-01-20 19:00:00,7,9,139,2.0,1.0,7.0
2024-01-01 00:00:00,24,27,0,3.4,3.3823069050575527,6.977486272671175
2024-01-01 06:00:00,116,11,6,2.875,1.165922381636102,6.968731476445666
2024-01-04 16:00:00,166,103,88,39.666666666666664,9.104333522498441,6.956394246413019
2024-01-04 16:00:00,12,11,88,2.75,1.1989578808281798,6.880975663883468
2024-01-28 03:00:00,37,15,147,2.6666666666666665,1.7950549357115013,6.8707275125509195
2024-01-23 00:00:00,68,106,24,36.625,10.135796712641785,6.844553217358102
2024-01-01 13:00:00,12,20,13,5.125,2.2043990110685496,6.747870927772539
2024-01-15 00:00:00,114,148,0,49.75,14.57523584714841,6.740885775733244
2024-01-06 14:00:00,226,14,134,3.7777777777777777,1.547598697464902,6.60521505928319
2024-01-01 04:00:00,161,39,4,10.5,4.330127018922194,6.581793068761733
2024-01-16 03:00:00,138,25,27,4.4,3.1368774282716245,6.567040144552385
2024-01-01 11:00:00,148,24,11,12.75,1.713913650100261,6.563924617405255
2024-01-01 04:00:00,7,26,4,3.2,3.4871191548325386,6.5383484153110105
2024-01-04 16:00:00,151,117,88,52.666666666666664,9.843215373488933,6.5358047032684565
2024-01-01 00:00:00,87,30,0,4.857142857142857,3.9070840946220975,6.435197332318751
2024-01-04 16:00:00,24,40,88,16.0,3.7416573867739413,6.4142698058981855
2024-01-01 04:00:00,162,30,4,7.375,3.5333235062756425,6.403319695978887
2024-01-01 00:00:00,161,242,0,37.875,32.00170893874263,6.378565606940996
2024-01-14 23:00:00,158,90,167,22.555555555555557,10.6156185888855,6.353322124351608
2024-01-05 10:00:00,152,10,106,2.6666666666666665,1.1547005383792515,6.350852961085884
2024-01-20 10:00:00,7,13,130,3.2222222222222223,1.547598697464902,6.318031795836096
2024-01-01 04:00:00,230,80,4,23.25,8.98262211161084,6.317754358902125
2024-01-05 06:00:00,152,12,102,2.875,1.4523687548277813,6.282839650514254
2024-01-04 17:00:00,152,22,89,5.444444444444445,2.7125679146074897,6.103277807866852
2024-01-30 00:00:00,164,144,24,39.125,17.229607511490215,6.086905922265504
